                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     28 | 2.80% |    326 | 3.26% |   3472 | 3.47% |  33893 | 3.39% 
Mediterranean Avenue  |     26 | 2.60% |    195 | 1.95% |   2335 | 2.34% |  23821 | 2.38% 
Community Chest       |     26 | 2.60% |    244 | 2.44% |   2446 | 2.45% |  23969 | 2.40% 
Baltic Avenue         |     25 | 2.50% |    236 | 2.36% |   2383 | 2.38% |  24063 | 2.41% 
Income Tax            |     24 | 2.40% |    271 | 2.71% |   2647 | 2.65% |  26368 | 2.64% 
Reading Railroad      |     31 | 3.10% |    328 | 3.28% |   3240 | 3.24% |  33193 | 3.32% 
Oriental Avenue       |     31 | 3.10% |    267 | 2.67% |   2584 | 2.58% |  25560 | 2.56% 
Chance                |     27 | 2.70% |    274 | 2.74% |   2537 | 2.54% |  26424 | 2.64% 
Vermont Avenue        |     25 | 2.50% |    284 | 2.84% |   2608 | 2.61% |  25927 | 2.59% 
Connecticut Avenue    |     24 | 2.40% |    269 | 2.69% |   2594 | 2.59% |  26191 | 2.62% 
Jail                  |     65 | 6.50% |    597 | 5.97% |   6103 | 6.10% |  60372 | 6.04% 
St. Charles Place     |     30 | 3.00% |    270 | 2.70% |   3066 | 3.07% |  30429 | 3.04% 
Electric Company      |     34 | 3.40% |    288 | 2.88% |   2917 | 2.92% |  28672 | 2.87% 
States Avenue         |     22 | 2.20% |    247 | 2.47% |   2388 | 2.39% |  24848 | 2.48% 
Virginia Avenue       |     24 | 2.40% |    225 | 2.25% |   2532 | 2.53% |  24839 | 2.48% 
Pennsylvania Railroad |     36 | 3.60% |    325 | 3.25% |   2836 | 2.84% |  28643 | 2.86% 
St. James Place       |     25 | 2.50% |    266 | 2.66% |   2453 | 2.45% |  25361 | 2.54% 
Community Chest       |     21 | 2.10% |    242 | 2.42% |   2522 | 2.52% |  25262 | 2.53% 
Tennessee Avenue      |     34 | 3.40% |    252 | 2.52% |   2573 | 2.57% |  25623 | 2.56% 
New York Avenue       |     30 | 3.00% |    271 | 2.71% |   2770 | 2.77% |  27502 | 2.75% 
Free Parking          |     19 | 1.90% |    254 | 2.54% |   2631 | 2.63% |  25600 | 2.56% 
Kentucky Avenue       |     18 | 1.80% |    226 | 2.26% |   2613 | 2.61% |  25692 | 2.57% 
Chance                |     26 | 2.60% |    239 | 2.39% |   2576 | 2.58% |  25325 | 2.53% 
Indiana Avenue        |     20 | 2.00% |    273 | 2.73% |   2505 | 2.51% |  25346 | 2.53% 
Illinois Avenue       |     32 | 3.20% |    302 | 3.02% |   2935 | 2.94% |  30255 | 3.03% 
B. & O. Railroad      |     32 | 3.20% |    294 | 2.94% |   2836 | 2.84% |  28319 | 2.83% 
Atlantic Avenue       |     14 | 1.40% |    259 | 2.59% |   2476 | 2.48% |  24801 | 2.48% 
Ventnor Avenue        |     33 | 3.30% |    250 | 2.50% |   2456 | 2.46% |  24738 | 2.47% 
Water Works           |     27 | 2.70% |    250 | 2.50% |   2663 | 2.66% |  26413 | 2.64% 
Marvin Gardens        |     19 | 1.90% |    231 | 2.31% |   2399 | 2.40% |  24161 | 2.42% 
Go To Jail            |     26 | 2.60% |    251 | 2.51% |   2492 | 2.49% |  24701 | 2.47% 
Pacific Avenue        |     25 | 2.50% |    250 | 2.50% |   2552 | 2.55% |  24866 | 2.49% 
North Carolina Avenue |     21 | 2.10% |    272 | 2.72% |   2421 | 2.42% |  24579 | 2.46% 
Community Chest       |     30 | 3.00% |    272 | 2.72% |   2704 | 2.70% |  26982 | 2.70% 
Pennsylvania Avenue   |     22 | 2.20% |    232 | 2.32% |   2526 | 2.53% |  24884 | 2.49% 
Short Line            |     23 | 2.30% |    255 | 2.55% |   2547 | 2.55% |  24706 | 2.47% 
Chance                |     36 | 3.60% |    217 | 2.17% |   2414 | 2.41% |  25010 | 2.50% 
Park Place            |     28 | 2.80% |    258 | 2.58% |   2447 | 2.45% |  24686 | 2.47% 
Luxury Tax            |     27 | 2.70% |    279 | 2.79% |   2426 | 2.43% |  24461 | 2.45% 
Boardwalk             |     28 | 2.80% |    293 | 2.93% |   2888 | 2.89% |  29339 | 2.93% 


                             Strategy A Simulation #7 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     30 | 3.00% |    348 | 3.48% |   3376 | 3.38% |  33946 | 3.39% 
Mediterranean Avenue  |     17 | 1.70% |    232 | 2.32% |   2367 | 2.37% |  24069 | 2.41% 
Community Chest       |     30 | 3.00% |    252 | 2.52% |   2333 | 2.33% |  23997 | 2.40% 
Baltic Avenue         |     26 | 2.60% |    239 | 2.39% |   2418 | 2.42% |  23881 | 2.39% 
Income Tax            |     25 | 2.50% |    248 | 2.48% |   2649 | 2.65% |  26309 | 2.63% 
Reading Railroad      |     43 | 4.30% |    338 | 3.38% |   3331 | 3.33% |  33499 | 3.35% 
Oriental Avenue       |     18 | 1.80% |    235 | 2.35% |   2545 | 2.55% |  25468 | 2.55% 
Chance                |     25 | 2.50% |    274 | 2.74% |   2640 | 2.64% |  26116 | 2.61% 
