                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Pennsylvania Railroad |     29 | 2.90% |    277 | 2.77% |   2920 | 2.92% |  28414 | 2.84% 
St. James Place       |     25 | 2.50% |    256 | 2.56% |   2540 | 2.54% |  25497 | 2.55% 
Community Chest       |     23 | 2.30% |    287 | 2.87% |   2582 | 2.58% |  25514 | 2.55% 
Tennessee Avenue      |     33 | 3.30% |    244 | 2.44% |   2534 | 2.53% |  25638 | 2.56% 
New York Avenue       |     31 | 3.10% |    254 | 2.54% |   2703 | 2.70% |  27226 | 2.72% 
Free Parking          |     25 | 2.50% |    272 | 2.72% |   2652 | 2.65% |  25464 | 2.55% 
Kentucky Avenue       |     24 | 2.40% |    246 | 2.46% |   2529 | 2.53% |  25670 | 2.57% 
Chance                |     25 | 2.50% |    285 | 2.85% |   2522 | 2.52% |  25528 | 2.55% 
Indiana Avenue        |     31 | 3.10% |    263 | 2.63% |   2519 | 2.52% |  25262 | 2.53% 
Illinois Avenue       |     27 | 2.70% |    296 | 2.96% |   2903 | 2.90% |  30094 | 3.01% 
B. & O. Railroad      |     31 | 3.10% |    277 | 2.77% |   2860 | 2.86% |  28461 | 2.85% 
Atlantic Avenue       |     24 | 2.40% |    245 | 2.45% |   2470 | 2.47% |  24986 | 2.50% 
Ventnor Avenue        |     22 | 2.20% |    248 | 2.48% |   2489 | 2.49% |  24621 | 2.46% 
Water Works           |     26 | 2.60% |    273 | 2.73% |   2697 | 2.70% |  26259 | 2.63% 
Marvin Gardens        |     19 | 1.90% |    243 | 2.43% |   2424 | 2.42% |  24270 | 2.43% 
Go To Jail            |     35 | 3.50% |    261 | 2.61% |   2420 | 2.42% |  24683 | 2.47% 
Pacific Avenue        |     26 | 2.60% |    227 | 2.27% |   2443 | 2.44% |  24927 | 2.49% 
North Carolina Avenue |     28 | 2.80% |    250 | 2.50% |   2574 | 2.57% |  24755 | 2.48% 
Community Chest       |     24 | 2.40% |    264 | 2.64% |   2618 | 2.62% |  26473 | 2.65% 
Pennsylvania Avenue   |     25 | 2.50% |    266 | 2.66% |   2512 | 2.51% |  24944 | 2.49% 
Short Line            |     24 | 2.40% |    236 | 2.36% |   2488 | 2.49% |  25119 | 2.51% 
Chance                |     23 | 2.30% |    242 | 2.42% |   2464 | 2.46% |  24736 | 2.47% 
Park Place            |     24 | 2.40% |    223 | 2.23% |   2510 | 2.51% |  24608 | 2.46% 
Luxury Tax            |     27 | 2.70% |    239 | 2.39% |   2447 | 2.45% |  24460 | 2.45% 
Boardwalk             |     35 | 3.50% |    314 | 3.14% |   2931 | 2.93% |  29295 | 2.93% 


                             Strategy A Simulation #6 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     35 | 3.50% |    348 | 3.48% |   3339 | 3.34% |  34025 | 3.40% 
Mediterranean Avenue  |     30 | 3.00% |    235 | 2.35% |   2369 | 2.37% |  23736 | 2.37% 
Community Chest       |     27 | 2.70% |    251 | 2.51% |   2328 | 2.33% |  23884 | 2.39% 
Baltic Avenue         |     25 | 2.50% |    244 | 2.44% |   2458 | 2.46% |  23909 | 2.39% 
Income Tax            |     20 | 2.00% |    270 | 2.70% |   2665 | 2.67% |  26442 | 2.64% 
Reading Railroad      |     29 | 2.90% |    329 | 3.29% |   3329 | 3.33% |  33643 | 3.36% 
Oriental Avenue       |     25 | 2.50% |    269 | 2.69% |   2568 | 2.57% |  25704 | 2.57% 
Chance                |     20 | 2.00% |    269 | 2.69% |   2611 | 2.61% |  25970 | 2.60% 
Vermont Avenue        |     32 | 3.20% |    267 | 2.67% |   2537 | 2.54% |  26199 | 2.62% 
Connecticut Avenue    |     27 | 2.70% |    249 | 2.49% |   2616 | 2.62% |  26030 | 2.60% 
Jail                  |     74 | 7.40% |    603 | 6.03% |   6066 | 6.07% |  60091 | 6.01% 
St. Charles Place     |     35 | 3.50% |    318 | 3.18% |   3101 | 3.10% |  30400 | 3.04% 
Electric Company      |     33 | 3.30% |    277 | 2.77% |   2864 | 2.86% |  28615 | 2.86% 
States Avenue         |     14 | 1.40% |    260 | 2.60% |   2558 | 2.56% |  24651 | 2.47% 
Virginia Avenue       |     22 | 2.20% |    245 | 2.45% |   2423 | 2.42% |  24724 | 2.47% 
Pennsylvania Railroad |     28 | 2.80% |    280 | 2.80% |   2746 | 2.75% |  28510 | 2.85% 
St. James Place       |     26 | 2.60% |    261 | 2.61% |   2525 | 2.53% |  25303 | 2.53% 
Community Chest       |     30 | 3.00% |    250 | 2.50% |   2512 | 2.51% |  25501 | 2.55% 
Tennessee Avenue      |     24 | 2.40% |    258 | 2.58% |   2618 | 2.62% |  25725 | 2.57% 
New York Avenue       |     22 | 2.20% |    261 | 2.61% |   2777 | 2.78% |  27417 | 2.74% 
Free Parking          |     26 | 2.60% |    247 | 2.47% |   2533 | 2.53% |  25545 | 2.55% 
Kentucky Avenue       |     21 | 2.10% |    268 | 2.68% |   2551 | 2.55% |  25458 | 2.55% 
Chance                |     22 | 2.20% |    269 | 2.69% |   2523 | 2.52% |  25222 | 2.52% 
Indiana Avenue        |     31 | 3.10% |    230 | 2.30% |   2437 | 2.44% |  25011 | 2.50% 
Illinois Avenue       |     29 | 2.90% |    316 | 3.16% |   3076 | 3.08% |  30381 | 3.04% 
B. & O. Railroad      |     33 | 3.30% |    274 | 2.74% |   2886 | 2.89% |  28412 | 2.84% 
Atlantic Avenue       |     24 | 2.40% |    238 | 2.38% |   2499 | 2.50% |  25031 | 2.50% 
Ventnor Avenue        |     22 | 2.20% |    254 | 2.54% |   2466 | 2.47% |  24632 | 2.46% 
Water Works           |     25 | 2.50% |    249 | 2.49% |   2611 | 2.61% |  26279 | 2.63% 
Marvin Gardens        |     27 | 2.70% |    240 | 2.40% |   2412 | 2.41% |  24280 | 2.43% 
Go To Jail            |     29 | 2.90% |    239 | 2.39% |   2491 | 2.49% |  24507 | 2.45% 
Pacific Avenue        |     23 | 2.30% |    263 | 2.63% |   2532 | 2.53% |  24944 | 2.49% 
North Carolina Avenue |     27 | 2.70% |    256 | 2.56% |   2538 | 2.54% |  24957 | 2.50% 
Community Chest       |     26 | 2.60% |    262 | 2.62% |   2585 | 2.59% |  26534 | 2.65% 
Pennsylvania Avenue   |     23 | 2.30% |    238 | 2.38% |   2490 | 2.49% |  24877 | 2.49% 
Short Line            |     21 | 2.10% |    226 | 2.26% |   2474 | 2.47% |  24999 | 2.50% 
Chance                |     35 | 3.50% |    258 | 2.58% |   2448 | 2.45% |  24845 | 2.48% 
Park Place            |     18 | 1.80% |    266 | 2.66% |   2532 | 2.53% |  25010 | 2.50% 
Luxury Tax            |     23 | 2.30% |    225 | 2.25% |   2500 | 2.50% |  24362 | 2.44% 
Boardwalk             |     29 | 2.90% |    306 | 3.06% |   2918 | 2.92% |  29333 | 2.93% 


                             Strategy A Simulation #7 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     42 | 4.20% |    365 | 3.65% |   3381 | 3.38% |  34153 | 3.42% 
Mediterranean Avenue  |     33 | 3.30% |    235 | 2.35% |   2359 | 2.36% |  23667 | 2.37% 
Community Chest       |     21 | 2.10% |    238 | 2.38% |   2400 | 2.40% |  24252 | 2.43% 
Baltic Avenue         |     29 | 2.90% |    264 | 2.64% |   2425 | 2.43% |  23843 | 2.38% 
Income Tax            |     25 | 2.50% |    235 | 2.35% |   2634 | 2.63% |  26255 | 2.63% 
Reading Railroad      |     24 | 2.40% |    332 | 3.32% |   3383 | 3.38% |  33636 | 3.36% 
Oriental Avenue       |     20 | 2.00% |    281 | 2.81% |   2535 | 2.54% |  25576 | 2.56% 
Chance                |     28 | 2.80% |    269 | 2.69% |   2583 | 2.58% |  25965 | 2.60% 
